sample_id,timestamp_utc,month_block,segment_id,source_dataset,altitude_km,latitude_deg,longitude_deg,residual_mGs,Bx_model_nT,By_model_nT,Bz_model_nT,B_model_nT,B_model_mGs,B_teaching_mGs,is_anomaly,anomaly_type,anomaly_id,quality_flag
33,2026-01-12 09:08:20,2026-01,segment_1,200_stab,476.8493125,32.829905,-54.894299,-147.55926580368,20015.981493511,-5042.63024021826,27602.5050576457,34466.8815001516,344.668815001516,197.109549197836,0,normal,,normal_semisynthetic
34,2026-01-12 09:08:40,2026-01,segment_1,200_stab,477.116375,34.091551,-55.21151,-172.103198646674,19693.9414342538,-4970.79442601177,28621.7995232501,35096.5459039862,350.965459039862,178.862260393188,0,normal,,normal_semisynthetic
35,2026-01-12 09:08:50,2026-01,segment_1,200_stab,477.25296875,34.725918,-55.373706,-140.003474888914,19523.9596914172,-4935.14455771202,29127.8878668797,35411.5024451536,354.115024451536,214.111549562622,0,normal,,normal_semisynthetic
36,2026-01-12 09:09:00,2026-01,segment_1,200_stab,477.3899375,35.35559,-55.536586,-133.303779586769,19349.9442087664,-4900.03175195788,29625.7584684417,35722.7688860062,357.227688860062,223.923909273293,0,normal,,normal_semisynthetic
37,2026-01-12 09:09:20,2026-01,segment_1,200_stab,477.667375,36.614913,-55.868267,-145.923992828021,18986.245923899,-4830.49244322172,30607.4309764805,36340.4185791359,363.404185791359,217.480192963339,0,normal,,normal_semisynthetic
38,2026-01-12 09:09:30,2026-01,segment_1,200_stab,477.80871875,37.249649,-56.038601,-142.473367691054,18795.0916318807,-4795.71467665884,31094.766587504,36648.8588886758,366.488588886758,224.015221195704,0,normal,,normal_semisynthetic
39,2026-01-12 09:09:50,2026-01,segment_1,200_stab,478.090625,38.50569,-56.382331,-145.93526652824,18401.5766324609,-4727.23036867983,32043.502331048,37252.5270439306,372.525270439306,226.590003911066,0,normal,,normal_semisynthetic
40,2026-01-12 09:10:10,2026-01,segment_1,200_stab,478.37625,39.768927,-56.737582,-117.680077251824,17985.7453169878,-4658.50517875518,32975.5056941535,37849.3418819032,378.493418819032,260.813341567208,0,normal,,normal_semisynthetic
41,2026-01-12 09:10:30,2026-01,segment_1,200_stab,478.662375,41.030483,-57.102738,-134.249718947616,17550.9213377195,-4589.64071966253,33882.5841365898,38433.437909085,384.33437909085,250.084660143234,0,normal,,normal_semisynthetic
42,2026-01-12 09:10:50,2026-01,segment_1,200_stab,478.94684375,42.285913,-57.477299,-143.003229318325,17099.448301573,-4520.48078929057,34760.2559637855,39001.2983559829,390.012983559829,247.009754241505,0,normal,,normal_semisynthetic
43,2026-01-12 09:11:00,2026-01,segment_1,200_stab,479.08809375,42.911316,-57.66836,-124.563526433954,16867.7832618318,-4485.66539689445,35187.7041836691,39278.7198357894,392.787198357894,268.22367192394,0,normal,,normal_semisynthetic
44,2026-01-12 09:11:20,2026-01,segment_1,200_stab,479.37084375,44.170564,-58.062721,-120.752489510413,16388.2045807539,-4414.57024039705,36027.7189466237,39825.3463548649,398.253463548649,277.500974038236,0,normal,,normal_semisynthetic
45,2026-01-12 09:11:30,2026-01,segment_1,200_stab,479.51009375,44.795676,-58.263576,-167.467940829428,16143.8467328491,-4378.67884420841,36434.1024434002,40090.4032981787,400.904032981787,233.43609215236,0,normal,,normal_semisynthetic
46,2026-01-12 09:11:50,2026-01,segment_1,200_stab,479.7869375,46.051799,-58.678162,-124.189474298607,15640.8389345453,-4305.09472175799,37228.513311227,40609.5048788322,406.095048788322,281.905574489715,0,normal,,normal_semisynthetic
47,2026-01-12 09:12:00,2026-01,segment_1,200_stab,479.9226875,46.675843,-58.889912,-144.717260852467,15385.2636990072,-4267.70946936415,37611.8137328672,40860.3501634383,408.603501634383,263.886240781915,0,normal,,normal_semisynthetic
48,2026-01-12 09:12:20,2026-01,segment_1,200_stab,480.19140625,47.931044,-59.328382,-143.094841870904,14860.5191481168,-4190.59436085505,38359.1016525616,41349.93095569,413.4993095569,270.404467685996,0,normal,,normal_semisynthetic
49,2026-01-12 09:12:30,2026-01,segment_1,200_stab,480.3225,48.554667,-59.55287,-124.03864298475,14594.8196957599,-4151.23060710946,38718.298593325,41585.4316253542,415.854316253542,291.815673268792,0,normal,,normal_semisynthetic
50,2026-01-12 09:12:40,2026-01,segment_1,200_stab,480.453125,49.184769,-59.784441,-127.232095584598,14323.2237742392,-4110.68635785973,39072.8770100279,41817.965032512,418.17965032512,290.947554740521,0,normal,,normal_semisynthetic
51,2026-01-12 09:13:00,2026-01,segment_1,200_stab,480.705375,50.430562,-60.257329,-125.956677414368,13777.6752699897,-4028.06104864001,39748.6714130481,42261.1700117179,422.611700117179,296.655022702811,0,normal,,normal_semisynthetic
52,2026-01-12 09:13:10,2026-01,segment_1,200_stab,480.828,51.052471,-60.501365,-145.081847670432,13501.4487130187,-3985.50400788666,40073.2220589607,42473.9506725467,424.739506725467,279.657659055035,0,normal,,normal_semisynthetic
53,2026-01-12 09:13:20,2026-01,segment_1,200_stab,480.949375,51.680152,-60.753419,-161.246364515928,13220.2980230789,-3941.6121394495,40391.9749421456,42682.8329168039,426.828329168039,265.581964652111,0,normal,,normal_semisynthetic
54,2026-01-12 09:13:40,2026-01,segment_1,200_stab,481.18175,52.921696,-61.270198,-140.634605066289,12658.0215803401,-3851.86181012595,40995.9834406909,43078.2196475443,430.782196475443,290.147591409153,0,normal,,normal_semisynthetic
55,2026-01-12 09:13:50,2026-01,segment_1,200_stab,481.2946875,53.547273,-61.540414,-128.239237112509,12372.0339803562,-3805.09110579117,41286.8149877277,43268.3144456231,432.683144456231,304.443907343721,0,normal,,normal_semisynthetic
56,2026-01-12 09:14:10,2026-01,segment_1,200_stab,481.50940625,54.786327,-62.096842,-134.194864514613,11801.4063197146,-3709.22932668212,41835.7645705339,43626.399926215,436.26399926215,302.069134747537,0,normal,,normal_semisynthetic
57,2026-01-12 09:14:30,2026-01,segment_1,200_stab,481.711375,56.025491,-62.684239,-130.295424256445,11226.6929196138,-3608.87746463202,42348.4169909001,43959.6525475485,439.596525475485,309.30110121904,0,normal,,normal_semisynthetic
58,2026-01-12 09:14:50,2026-01,segment_1,200_stab,481.89934375,57.26404,-63.305916,-133.355219283653,10650.1260687747,-3503.89186784956,42824.2748875483,44267.6062504703,442.676062504703,309.32084322105,0,normal,,normal_semisynthetic
59,2026-01-12 09:15:00,2026-01,segment_1,200_stab,481.98709375,57.878565,-63.628492,-151.940795212046,10363.8612701269,-3450.00865489376,43046.8139301372,44411.038826863,444.11038826863,292.169593056584,0,normal,,normal_semisynthetic
60,2026-01-12 09:15:20,2026-01,segment_1,200_stab,482.15175,59.113402,-64.307973,-128.282622667357,9789.47782124654,-3338.04420597122,43466.9040539569,44680.5121184794,446.805121184794,318.522498517437,0,normal,,normal_semisynthetic
61,2026-01-12 09:15:40,2026-01,segment_1,200_stab,482.29959375,60.345602,-65.032212,-116.999569975284,9219.09137068379,-3221.29918730609,43850.3927844545,44924.6631763232,449.246631763232,332.247061787948,0,normal,,normal_semisynthetic
62,2026-01-12 09:15:50,2026-01,segment_1,200_stab,482.3666875,60.958544,-65.411574,-151.1466941796,8937.00687523444,-3161.32472271128,44028.0601425046,45037.0308280021,450.370308280021,299.223614100421,0,normal,,normal_semisynthetic
63,2026-01-12 09:16:00,2026-01,segment_1,200_stab,482.42896875,61.568029,-65.802534,-108.929292867682,8657.91930553332,-3100.41993390041,44196.2339564726,45142.876142343,451.42876142343,342.499468555747,0,normal,,normal_semisynthetic
64,2026-01-12 09:16:20,2026-01,segment_1,200_stab,482.54009375,62.790762,-66.632074,-111.695709969895,8103.20345815889,-2974.37997370101,44508.5844365868,45337.8752376096,453.378752376096,341.6830424062,0,normal,,normal_semisynthetic
65,2026-01-12 09:16:40,2026-01,segment_1,200_stab,482.6315625,64.008954,-67.52601,-159.323456143012,7558.97271774232,-2843.62939327265,44787.5452823236,45509.8726551728,455.098726551728,295.775270408717,0,normal,,normal_semisynthetic
66,2026-01-12 09:16:50,2026-01,segment_1,200_stab,482.669875,64.620078,-68.003078,-122.270314898456,7289.68485549422,-2776.06651505771,44915.8120425192,45588.1149207483,455.881149207483,333.610834309027,0,normal,,normal_semisynthetic
67,2026-01-12 09:17:10,2026-01,segment_1,200_stab,482.73,65.824732,-69.006965,-116.770479559934,6767.22081676264,-2638.98360769406,45146.7975339146,45727.3751666634,457.273751666634,340.503272106699,0,normal,,normal_semisynthetic
68,2026-01-12 09:17:20,2026-01,segment_1,200_stab,482.75225,66.431397,-69.547937,-131.988175248156,6508.7094534183,-2567.96559944559,45252.5907440738,45790.3342979671,457.903342979671,325.915167731516,0,normal,,normal_semisynthetic
69,2026-01-12 09:17:40,2026-01,segment_1,200_stab,482.77971875,67.627411,-70.694015,-139.614662192749,6009.0210485302,-2423.99769407349,45441.6946152346,45901.3257791841,459.013257791841,319.398595599093,0,normal,,normal_semisynthetic
70,2026-01-12 09:18:00,2026-01,segment_1,200_stab,482.7845,68.820884,-71.95911,-137.12106968871,5524.69182358175,-2274.97885339658,45606.3953305722,45996.0981342699,459.960981342699,322.839911653989,0,normal,,normal_semisynthetic
71,2026-01-12 09:18:20,2026-01,segment_1,200_stab,482.7656875,70.006222,-73.359271,-144.391828749673,5059.0176606114,-2121.48111023015,45748.4730266478,46076.2099793523,460.762099793523,316.370271043851,0,normal,,normal_semisynthetic
72,2026-01-12 09:18:40,2026-01,segment_1,200_stab,482.7230625,71.17178,-74.904991,-91.8931843535192,4617.08546857847,-1964.92539505098,45869.6094596369,46143.2495822725,461.432495822725,369.539311469206,0,normal,,normal_semisynthetic
73,2026-01-12 09:18:50,2026-01,segment_1,200_stab,482.6921875,71.756813,-75.75539,-118.320460873158,4401.53314747323,-1884.12647441337,45924.2315723075,46173.1358273056,461.731358273056,343.410897399898,0,normal,,normal_semisynthetic
74,2026-01-12 09:19:00,2026-01,segment_1,200_stab,482.6553125,72.333547,-76.649838,-131.248595836826,4193.28448304348,-1802.93928050244,45974.4474909547,46200.4766956301,462.004766956301,330.756171119475,0,normal,,normal_semisynthetic
75,2026-01-12 09:19:20,2026-01,segment_1,200_stab,482.5628125,73.472591,-78.606298,-135.762425870677,3794.80440385835,-1637.8188571964,46064.2570664176,46249.311023555,462.49311023555,326.730684364874,0,normal,,normal_semisynthetic
76,2026-01-12 09:19:40,2026-01,segment_1,200_stab,482.444125,74.597441,-80.839968,-98.2126832893929,3418.7052939044,-1467.87817073263,46142.7891534214,46292.5393888452,462.925393888452,364.712710599059,0,normal,,normal_semisynthetic
77,2026-01-12 09:20:00,2026-01,segment_1,200_stab,482.29890625,75.700517,-83.405045,-117.774596743037,3067.71782568168,-1293.56796667931,46212.4295330589,46332.20104949,463.3220104949,345.547413751863,0,normal,,normal_semisynthetic
78,2026-01-12 09:20:10,2026-01,segment_1,200_stab,482.2169375,76.237253,-84.821141,-128.117817946503,2903.73366656357,-1205.59667007228,46244.4264864242,46351.1824401009,463.511824401009,335.394006454506,0,normal,,normal_semisynthetic
79,2026-01-12 09:20:30,2026-01,segment_1,200_stab,482.03225,77.289178,-88.004091,-88.4075264147168,2596.42867228899,-1026.14615022032,46305.0373868794,46389.124858874,463.89124858874,375.483722174023,0,normal,,normal_semisynthetic
80,2026-01-12 09:20:50,2026-01,segment_1,200_stab,481.821,78.296774,-91.715842,-88.3129260475541,2321.86122752289,-843.764840786349,46362.4773194209,46428.2487485823,464.282487485823,375.969561438269,0,normal,,normal_semisynthetic
81,2026-01-12 09:21:10,2026-01,segment_1,200_stab,481.58134375,79.255036,-96.104668,-142.359157237017,2082.92749994085,-658.164897811257,46419.0675017211,46470.4378689512,464.704378689512,322.345221452495,0,normal,,normal_semisynthetic
82,2026-01-12 09:21:20,2026-01,segment_1,200_stab,481.45159375,79.707584,-98.581411,-113.008649305586,1979.6545071379,-565.373490751696,46447.3621729748,46492.9686294515,464.929686294515,351.92103698893,0,normal,,normal_semisynthetic
83,2026-01-12 09:21:40,2026-01,segment_1,200_stab,481.1724375,80.547697,-104.180636,-114.32686037863,1810.35223797466,-381.966291124338,46504.7434354818,46541.5345199649,465.415345199649,351.088484821019,0,normal,,normal_semisynthetic
84,2026-01-12 09:22:00,2026-01,segment_1,200_stab,480.8645625,81.288561,-110.801863,-119.554878507202,1697.70575490283,-204.50962067582,46564.4957552464,46595.8828004743,465.958828004743,346.403949497541,0,normal,,normal_semisynthetic
85,2026-01-12 09:22:10,2026-01,segment_1,200_stab,480.70034375,81.611629,-114.516652,-154.509161385803,1666.42998228885,-120.889326180211,46595.3724055633,46625.3185804471,466.253185804471,311.744024418668,0,normal,,normal_semisynthetic
86,2026-01-12 09:22:30,2026-01,segment_1,200_stab,480.35153125,82.14355,-122.753498,-109.371689947042,1660.60233564823,28.8062230883538,46659.2883635431,46688.8382861248,466.888382861248,357.516692914207,0,normal,,normal_semisynthetic
87,2026-01-12 09:22:40,2026-01,segment_1,200_stab,480.16509375,82.346434,-127.291217,-141.059443416935,1688.37515640991,91.9419486566957,46692.6605280617,46723.2662725918,467.232662725918,326.173219308983,0,normal,,normal_semisynthetic
88,2026-01-12 09:22:50,2026-01,segment_1,200_stab,479.97303125,82.499533,-132.008705,-105.908209835577,1736.96981044185,143.886183974441,46726.5064271155,46759.0009542505,467.590009542505,361.681799706928,0,normal,,normal_semisynthetic
89,2026-01-12 09:23:10,2026-01,segment_1,200_stab,479.56871875,82.649865,-141.85374,-139.329188408381,1895.05253301875,208.921138880823,46795.9535280438,46834.7748872994,468.347748872994,329.018560464612,0,normal,,normal_semisynthetic
90,2026-01-12 09:23:30,2026-01,segment_1,200_stab,479.13859375,82.584726,-151.778032,-113.848159453423,2124.5302142117,215.940291510969,46866.8877543294,46915.5137094065,469.155137094065,355.306977640642,0,normal,,normal_semisynthetic
91,2026-01-12 09:23:40,2026-01,segment_1,200_stab,478.91309375,82.472472,-156.614872,-108.959732975217,2261.48880648422,197.739366434061,46902.7095491793,46957.6148833559,469.576148833559,360.616415858342,0,normal,,normal_semisynthetic
92,2026-01-12 09:23:50,2026-01,segment_1,200_stab,478.67828125,82.307734,-161.331459,-103.522266301471,2411.96300946039,165.868900742414,46938.9001008057,47001.1214836907,470.011214836907,366.488948535436,0,normal,,normal_semisynthetic
93,2026-01-12 09:24:10,2026-01,segment_1,200_stab,478.19303125,81.842291,-169.987344,-92.8479087774919,2738.0746727353,69.0124006260923,47009.7202769047,47089.4427248586,470.894427248586,378.046518471094,0,normal,,normal_semisynthetic
94,2026-01-12 09:24:30,2026-01,segment_1,200_stab,477.6810625,81.217247,-177.584659,-110.759494036708,3092.28444414222,-61.1070379800447,47077.9197226655,47179.4073994928,471.794073994928,361.034579958219,0,normal,,normal_semisynthetic
95,2026-01-12 09:24:40,2026-01,segment_1,200_stab,477.4158125,80.855554,179.033014,-128.203008985221,3277.25674664745,-134.41584192753,47110.3447997636,47224.3905895526,472.243905895526,344.040896910305,0,normal,,normal_semisynthetic
96,2026-01-12 09:25:00,2026-01,segment_1,200_stab,476.86671875,80.051607,173.043293,-92.7645413534086,3661.00083098015,-291.234118274388,47170.6056962362,47313.3573755433,473.133573755433,380.369032402024,0,normal,,normal_semisynthetic
97,2026-01-12 09:25:10,2026-01,segment_1,200_stab,476.57953125,79.610315,170.373086,-107.517281108982,3861.77536580653,-373.83960337465,47198.2147609776,47357.4127423402,473.574127423402,366.05684631442,0,normal,,normal_semisynthetic
98,2026-01-12 09:25:30,2026-01,segment_1,200_stab,475.99275,78.681669,165.709897,-140.242940906019,4271.9345350584,-540.456024651438,47245.7493817664,47441.5677653162,474.415677653162,334.172736747143,0,normal,,normal_semisynthetic
99,2026-01-12 09:25:40,2026-01,segment_1,200_stab,475.6895625,78.192914,163.647016,-115.576522939522,4483.89113686315,-624.624066415567,47265.4462310972,47481.7632610282,474.817632610282,359.241109670759,0,normal,,normal_semisynthetic
100,2026-01-12 09:25:50,2026-01,segment_1,200_stab,475.37978125,77.68998,161.740983,-112.743460000748,4700.55726313468,-708.973365937666,47282.0308536471,47520.3990246594,475.203990246594,362.460530245847,0,normal,,normal_semisynthetic
101,2026-01-12 09:26:10,2026-01,segment_1,200_stab,474.741375,76.648636,158.346748,-125.494303775071,5147.50044700086,-877.120135488731,47304.5953304873,47591.9199020707,475.919199020707,350.424895245636,0,normal,,normal_semisynthetic
102,2026-01-12 09:26:20,2026-01,segment_1,200_stab,474.4155625,76.116974,156.844106,-100.954326111658,5375.91303298648,-959.938319100385,47309.9444233986,47624.0775643978,476.240775643978,375.28644953232,0,normal,,normal_semisynthetic
103,2026-01-12 09:26:40,2026-01,segment_1,200_stab,473.74196875,75.02191,154.128956,-100.61646898832,5848.79898051684,-1124.83112463394,47307.4978625684,47680.9505839634,476.809505839634,376.193036851313,0,normal,,normal_semisynthetic
104,2026-01-12 09:27:00,2026-01,segment_1,200_stab,473.04978125,73.906,151.778961,-106.906973537233,6335.70187622827,-1285.79820458614,47285.7281822567,47725.6166540949,477.256166540949,370.349193003716,0,normal,,normal_semisynthetic
105,2026-01-12 09:27:10,2026-01,segment_1,200_stab,472.69625,73.340645,150.717044,-84.4618499827133,6584.71293891712,-1364.86994677005,47267.0044622825,47742.9683335355,477.429683335355,392.967833352641,0,normal,,normal_semisynthetic
106,2026-01-12 09:27:20,2026-01,segment_1,200_stab,472.3361875,72.768289,149.71664,-117.997497966421,6838.52901298232,-1443.32231380455,47242.6233143773,47756.8227166242,477.568227166242,359.570729199821,0,normal,,normal_semisynthetic
107,2026-01-12 09:27:40,2026-01,segment_1,200_stab,471.600125,71.609684,147.888485,-118.330895929991,7357.79511663888,-1597.43748638192,47176.0949108764,47773.1398019991,477.731398019992,359.40050209,0,normal,,normal_semisynthetic
108,2026-01-12 09:28:00,2026-01,segment_1,200_stab,470.84734375,70.440697,146.266466,-107.342986004276,7889.18216371571,-1746.83224463989,47084.9003456236,47773.1981204997,477.731981204997,370.388995200721,0,normal,,normal_semisynthetic
109,2026-01-12 09:28:20,2026-01,segment_1,200_stab,470.07315625,69.254901,144.806431,-102.967737376101,8435.65433061392,-1892.30606526967,46966.8228105938,47755.8743104131,477.558743104131,374.59100572803,0,normal,,normal_semisynthetic
110,2026-01-12 09:28:30,2026-01,segment_1,200_stab,469.68125,68.660695,144.134313,-110.417856930965,8712.18477157577,-1962.9291763647,46897.718211244,47740.4569298069,477.404569298069,366.986712367103,0,normal,,normal_semisynthetic
111,2026-01-12 09:28:50,2026-01,segment_1,200_stab,468.88625,67.467284,142.887161,-128.983562499615,9272.66038076293,-2100.17641096181,46738.4474092513,47695.6542854952,476.956542854952,347.972980355338,0,normal,,normal_semisynthetic
112,2026-01-12 09:29:00,2026-01,segment_1,200_stab,468.48025,66.863604,142.302688,-102.887665113241,9558.60481856704,-2167.24779060639,46647.3056218787,47665.8684054363,476.658684054364,373.771018941122,0,normal,,normal_semisynthetic
113,2026-01-12 09:29:20,2026-01,segment_1,200_stab,467.65778125,65.65184,141.21106,-122.666734375009,10137.0870228397,-2297.02675337739,46442.5552328371,47591.4677412819,475.914677412819,353.24794303781,0,normal,,normal_semisynthetic
114,2026-01-12 09:29:30,2026-01,segment_1,200_stab,467.24375,65.047108,140.702785,-128.487933792564,10427.8542011157,-2359.32822441668,46329.3640696828,47546.9930491032,475.469930491032,346.981996698468,0,normal,,normal_semisynthetic
115,2026-01-12 09:29:50,2026-01,segment_1,200_stab,466.40246875,63.828241,139.743061,-81.1427815359336,11017.6611172517,-2479.78877254404,46078.6739633301,47442.4114381838,474.424114381838,393.281332845904,0,normal,,normal_semisynthetic
116,2026-01-12 09:30:00,2026-01,segment_1,200_stab,465.97896875,63.219227,139.292815,-106.042158386659,11314.0626366776,-2537.3627959984,45942.029505416,47382.6582029934,473.826582029934,367.784423643275,0,normal,,normal_semisynthetic
117,2026-01-12 09:30:20,2026-01,segment_1,200_stab,465.11571875,61.986364,138.434219,-53.9796998125692,11917.1153848478,-2648.43004552361,45641.9808207491,47246.3991648404,472.463991648404,418.484291835835,0,normal,,normal_semisynthetic
